agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
Transit Joint Powers Authority for Merced County,90173,Merced,Merced,Merced,http://www.mercedthebus.com/,10.0,Stockton,True,True,5307;5311,,45.0,https://data.trilliumtransit.com/gtfs/mercedthebus-ca-us/mercedthebus-ca-us.zip;https://thebuslive.com/gtfs
City of Lodi,90175,Lodi,San Joaquin,San Joaquin,www.lodi.gov/transit,10.0,Stockton,True,True,5307;5339,,13.0,https://www.lodi.gov/DocumentCenter/View/2453/lodi_gtfs-ZIP
Altamont Corridor Express,90182,Stockton,San Joaquin,San Joaquin,http://www.acerail.com/,10.0,Stockton,True,True,5307;5309;5337,,28.0,https://api.511.org/transit/datafeeds?operator_id=CE;https://api.511.org/transit/datafeeds?operator_id=RG;https://cdn.acerail.com/wp-content/uploads/ACE_1252025.zip
City of Atascadero,90194,Atascadero,San Luis Obispo,San Luis Obispo,https://www.atascadero.org/service/publictransit,5.0,San Luis Obispo / Santa Barbara,True,True,,,2.0,
County of Placer,90196,Auburn,Placer,Placer,https://www.placercountytransit.com,3.0,Marysville / Sacramento,True,True,5307;5311;5339,19.0,42.0,https://data.trilliumtransit.com/gtfs/placercounty-ca-us/placercounty-ca-us.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/PlacerCountyDialARideFlex.zip
City of Tracy,90197,Tracy,San Joaquin,San Joaquin,http://www.ridetracer.com,10.0,Stockton,True,True,5307;5339,,15.0,http://s3.amazonaws.com/etatransit.gtfs/tracer.etaspot.net/gtfs.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/TracyTRACERPlusandParatransitFlex.zip
City of Porterville,90198,Porterville,Tulare,Tulare,https://www.ci.porterville.ca.us/departments/porterville_transit/index.php,6.0,Fresno / Bakersfield,True,False,,,,
City of Madera,90199,Madera,Madera,Madera,https://www.madera.gov/home/departments/transit/,6.0,Fresno / Bakersfield,True,True,5307,,22.0,https://data.trilliumtransit.com/gtfs/cityofmadera-ca-us/cityofmadera-ca-us.zip
Kings County Area Public Transit Agency,90200,Hanford,Kings,Kings,http://www.kartbus.org,6.0,Fresno / Bakersfield,True,True,5307;5311;5339,,68.0,https://kart.connexionz.net/rtt/public/utility/gtfs.aspx
City of Turlock,90201,Turlock,Stanislaus,Stanislaus,www.turlocktransit.com,10.0,Stockton,True,True,5307,,13.0,https://data.trilliumtransit.com/gtfs/turlock-ca-us/turlock-ca-us.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/TurlockTransitDialARideFlex.zip
San Luis Obispo Regional Transit Authority,90206,San Luis Obispo,San Luis Obispo,San Luis Obispo,http://www.slorta.org/,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5311;5339,38.0,38.0,https://slo.connexionz.net/rtt/public/utility/gtfs.aspx
Butte County Association of Governments,90208,Chico,Butte,Butte,http://www.blinetransit.com,3.0,Marysville / Sacramento,True,True,5307;5310;5311;5339,,37.0,https://planmyride.blinetransit.com/gtfsrealtime/google_transit.zip
Anaheim Transportation Network,90211,Anaheim,Orange,Orange,http://www.rideart.org/,12.0,Orange County,True,True,5339,,62.0,https://art.tripshot.com/v1/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820;https://art.tripshot.com/v2/gtfs.zip?regionId=CA558DDC-D7F2-4B48-9CAC-DEEA1134F820
City of Petaluma,90213,Petaluma,Sonoma,Sonoma,http://transit.cityofpetaluma.net/,4.0,Bay Area / Oakland,True,True,5307,,11.0,https://api.511.org/transit/datafeeds?operator_id=PE;https://api.511.org/transit/datafeeds?operator_id=RG;https://data.trilliumtransit.com/gtfs/petalumatransit-petaluma-ca-us/petalumatransit-petaluma-ca-us.zip;https://petalumatransit.com/gtfs
City of Redondo Beach,90214,Redondo Beach,Los Angeles,Los Angeles,http://www.beachcitiestransit.org,7.0,Los Angeles / Ventura,True,True,5307,,17.0,https://redondobeachbct.com/gtfs
County of Sacramento Municipal Services Agency,90216,Sacramento,Sacramento,Sacramento,http://www.sctlink.com/,,,,,,,12.0,
City of Manteca,90217,Manteca,San Joaquin,San Joaquin,http://www.mantecatransit.com,10.0,Stockton,True,True,5307,,6.0,https://data.trilliumtransit.com/gtfs/manteca-ca-us/manteca-ca-us--flex-v2.zip;https://s3.amazonaws.com/etatransit.gtfs/mantecatransit.etaspot.net/gtfs.zip
Riverside County Transportation Commission,90218,Riverside,Riverside,Riverside,http://www.rctc.org/,8.0,San Bernardino / Riverside,True,False,,,37.0,
"Paratransit, Inc.",90223,Sacramento,Sacramento,Sacramento,http://www.paratransit.org/,3.0,Marysville / Sacramento,False,False,,38.0,38.0,
San Francisco Bay Area Water Emergency Transportation Authority,90225,San Francisco,San Francisco,San Francisco,http://www.sanfranciscobayferry.com/weta,4.0,Bay Area / Oakland,True,True,5307;5337,,11.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SB;https://data.trilliumtransit.com/gtfs/sfbayferry-ca-us/sfbayferry-ca-us.zip
Imperial County Transportation Commission,90226,El Centro,Imperial,Imperial,http://www.imperialctc.org/,11.0,San Diego,True,True,5307;5310;5311,,38.0,https://schedule.ivtransit.com/gtfs/data.zip
City of Moorpark,90227,Moorpark,Ventura,Ventura,http://www.moorparkca.gov/transit,7.0,Los Angeles / Ventura,True,True,5307,,2.0,https://data.trilliumtransit.com/gtfs/moorparkcitytransit-ca-us/moorparkcitytransit-ca-us.zip;https://govcbus.com/gtfs
